"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-01","6.26","0.10","0.0","34","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-02","14.32","0.41","0.0","39","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-03","9.40","0.03","0.2","33","    1",,,,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-04","11.41","0.00","0.0","34",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-05","10.74","0.01","0.0","32","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-06","13.42","0.00","0.0","33","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-07","13.65","0.00","0.0","34",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-08","10.74","0.00","0.0","32",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-09","11.41","0.00","0.0","29",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-10","9.40","0.00","0.0","33",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-11","5.82","0.00","0.0","31",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-12","7.38","0.00","0.0","33",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-13","6.93","0.00","0.0","35",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-14","5.37","0.10","0.0","35","    1",,,,,,"    1",
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-15","8.28","0.00","0.0","36","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-16","18.57","1.03","0.0","42","    1",,"    1",,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-17","18.57","0.00","0.0","39",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-18","14.54","0.00","0.0","40",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-19","10.74","0.00","0.0","33",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-20","10.96","0.00","0.0","34",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-21","7.83","0.00","0.1","26",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-22","9.62","0.00","0.0","35",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-23","16.55","0.00","0.0","31",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-24","20.80","0.00","0.0","22",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-25","12.97","0.00","0.0","26",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-26","8.28","0.22","3.6","28","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-27","8.50","0.07","1.0","30","    1",,,,,,"    1",
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-28","13.42","0.05","0.9","31","    1",,,,,"    1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-29","20.80","0.00","0.0","15",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2021-01-30","13.20","0.00","0.0","13",,,,,,,,
